,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpm,,,cjc,,,cpod1,,,cpod2,,,cpmd,,,iqs,,,iqt,,,
File,Other versions,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
sleep,,In boot on ne0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BE580,800CF460,1A0,BE560,800CF440,1A0,BE560,800CF440,1A0,BE540,800CF420,1A0,BE620,800CF520,1A0,0BE600,800CF500,1A0,BE560,800CF440,1A0,E2560,800FF3C0,1A0,E2210,800FF070,1A0,E2540,800FF3A0,1A0,,,,,,,
jpegutils,,,BD5C0,800CE660,510,0BD7D0,800CE870,510,BD990,800CEA30,510,BDA00,800CF0E0,510,BD9D0,800CF0B0,510,BDA40,800CF120,510,BD7F0,800CEFD0,510,BE720,800CF600,510,BE700,800CF5E0,510,BE700,800CF5E0,510,BE6E0,800CF5C0,510,BE7C0,800CF6C0,510,0BE7A0,800CF6A0,510,BE700,800CF5E0,510,E2700,800FF560,510,E23B0,800FF210,510,E26E0,800FF540,510,,,,,,,
jpegdecoder,,,BDAD0,800CEB70,5F0,0BDCE0,800CED80,5F0,BDEA0,800CEF40,5F0,BDF10,800CF5F0,5F0,BDEE0,800CF5C0,5F0,BDF50,800CF630,5F0,BDD00,800CF4E0,5F0,BEC30,800CFB10,5F0,BEC10,800CFAF0,5F0,BEC10,800CFAF0,5F0,BEBF0,800CFAD0,5F0,BECD0,800CFBD0,5F0,0BECB0,800CFBB0,5F0,BEC10,800CFAF0,5F0,E2C10,800FFA70,5F0,E28C0,800FF720,5F0,E2BF0,800FFA50,5F0,,,,,,,
,code_800FC620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B9990,800D2930,340,B9B50,800D2590,340,code_800FC620
,logutils,Only 2 fns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B9CD0,800D2C70,60,B9E90,800D28D0,60,logutils
,gfxprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B9D30,800D2CD0,D70,B9EF0,800D2930,D70,gfxprint
,relocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAAA0,800D3A40,240,BAC60,800D36A0,240,relocation
,loadfragment2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACE0,800D3C80,60,BAEA0,800D38E0,60,loadfragment2
,overlay_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAD40,800D3CE0,D0,BAF00,800D3940,D0,overlay_load
,padsetup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAE10,800D3DB0,140,BAFD0,800D3A10,140,padsetup
,padutils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAF50,800D3EF0,1F0,BB110,800D3B50,1F0,padutils
,rcp_utils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BB140,800D40E0,60,BB300,800D3D40,60,rcp_utils
,__osMalloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BB1A0,800D4140,DB0,BB360,800D3DA0,DB0,__osMalloc
,printutils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBF50,800D4EF0,60,BC110,800D4B50,60,printutils
,system_malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBFB0,800D4F50,1D0,BC170,800D4BB0,1D0,system_malloc
,code_800FCE80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC180,800D5120,510,BC340,800D4D80,510,code_800FCE80
,fp,Handwritten,,,,,,,,,,,,,,,,,,,,,,BD1B0,800CE090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC690,800D5630,160,BC850,800D5290,160,fp
,code_800FD970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC7F0,800D5790,1C0,BC9B0,800D53F0,1C0,code_800FD970
,sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC9B0,800D5950,1A0,BCB70,800D55B0,1A0,sleep
,sprintf,old libultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCB50,800D5AF0,D0,BCD10,800D5750,D0,sprintf
,jpegutils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCC20,800D5BC0,510,BCDE0,800D5820,510,jpegutils
,jpegdecoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD130,800D60D0,5F0,BD2F0,800D5D30,5F0,jpegdecoder
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
getintmask,,,BE0C0,800CF160,60,BE2D0,800CF370,60,BE490,800CF530,60,BE500,800CFBE0,60,BE4D0,800CFBB0,60,BE540,800CFC20,60,BE2F0,800CFAD0,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
pfsfreeblocks,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E3200,80100060,1A0,E2EB0,800FFD10,1A0,E31E0,80100040,1A0,,,,,,,
scale,,Handwritten,BE120,800CF1C0,A0,BE330,800CF3D0,A0,BE4F0,800CF590,A0,BE560,800CFC40,A0,BE530,800CFC10,A0,BE5A0,800CFC80,A0,BE350,800CFB30,A0,BF220,800D0100,B0,BF200,800D00E0,B0,BF200,800D00E0,B0,BF1E0,800D00C0,B0,BF2C0,800D01C0,B0,0BF2A0,800D01A0,B0,BF200,800D00E0,B0,E33A0,80100200,B0,E3050,800FFEB0,B0,E3380,801001E0,B0,,,,,,,
sinf,,,BE1C0,800CF260,1C0,BE3D0,800CF470,1C0,BE590,800CF630,1C0,BE600,800CFCE0,1C0,BE5D0,800CFCB0,1C0,BE640,800CFD20,1C0,BE3F0,800CFBD0,1C0,BF2D0,800D01B0,1C0,BF2B0,800D0190,1C0,BF2B0,800D0190,1C0,BF290,800D0170,1C0,BF370,800D0270,1C0,0BF350,800D0250,1C0,BF2B0,800D0190,1C0,E3450,801002B0,1C0,E3100,800FFF60,1C0,E3430,80100290,1C0,,,,,,,
sins,,,BE380,800CF420,70,BE590,800CF630,70,0BE750,800CF7F0,70,BE7C0,800CFEA0,70,BE790,800CFE70,70,BE800,800CFEE0,70,BE5B0,800CFD90,70,BF490,800D0370,70,BF470,800D0350,70,BF470,800D0350,70,0BF450,800D0330,70,BF530,800D0430,70,0BF510,800D0410,70,BF470,800D0350,70,E3610,80100470,70,E32C0,80100120,70,E35F0,80100450,70,,,,,,,
sptask,,,BE3F0,800CF490,2F0,BE600,800CF6A0,2F0,BE7C0,800CF860,2F0,BE830,800CFF10,2F0,BE800,800CFEE0,2F0,BE870,800CFF50,2F0,BE620,800CFE00,2F0,BF500,800D03E0,2C0,BF4E0,800D03C0,2C0,BF4E0,800D03C0,2C0,BF4C0,800D03A0,2C0,BF5A0,800D04A0,2C0,0BF580,800D0480,2C0,BF4E0,800D03C0,2C0,E3680,801004E0,2C0,E3330,80100190,2C0,E3660,801004C0,2C0,,,,,,,
motor,,,BE6E0,800CF780,3D0,BE8F0,800CF990,3D0,BEAB0,800CFB50,3D0,BEB20,800D0200,3D0,BEAF0,800D01D0,3D0,BEB60,800D0240,3D0,-,-,-,BF7C0,800D06A0,3D0,BF7A0,800D0680,3D0,BF7A0,800D0680,3D0,BF780,800D0660,3D0,BF860,800D0760,3D0,0BF840,800D0740,3D0,BF7A0,800D0680,3D0,E3940,801007A0,3D0,E35F0,80100450,3D0,E3920,80100780,3D0,,,,,,,
siacs,,,BEAB0,800CFB50,C0,BECC0,800CFD60,C0,BEE80,800CFF20,C0,BEEF0,800D05D0,C0,BEEC0,800D05A0,C0,BEF30,800D0610,C0,-,-,-,BFB90,800D0A70,C0,BFB70,800D0A50,C0,BFB70,800D0A50,C0,BFB50,800D0A30,C0,BFC30,800D0B30,C0,0BFC10,800D0B10,C0,BFB70,800D0A50,C0,E3D10,80100B70,C0,E39C0,80100820,C0,E3CF0,80100B50,C0,,,,,,,
controller,,,BEB70,800CFC10,340,BED80,800CFE20,340,BEF40,800CFFE0,340,BEFB0,800D0690,340,BEF80,800D0660,340,BEFF0,800D06D0,340,BE910,800D00F0,340,BFC50,800D0B30,2E0,BFC30,800D0B10,2E0,BFC30,800D0B10,2E0,BFC10,800D0AF0,2E0,BFCF0,800D0BF0,2E0,0BFCD0,800D0BD0,2E0,BFC30,800D0B10,2E0,E3DD0,80100C30,2E0,E3A80,801008E0,2E0,E3DB0,80100C10,2E0,,,,,,,
,siacs,neg only,,,,,,,,,,,,,,,,,,,BEC50,800D0430,C0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contreaddata,,,BEEB0,800CFF50,1E0,BF0C0,800D0160,1E0,BF280,800D0320,1E0,BF2F0,800D09D0,1E0,BF2C0,800D09A0,1E0,BF330,800D0A10,1E0,BED10,800D04F0,1E0,BFF30,800D0E10,1E0,BFF10,800D0DF0,1E0,BFF10,800D0DF0,1E0,BFEF0,800D0DD0,1E0,BFFD0,800D0ED0,1E0,0BFFB0,800D0EB0,1E0,BFF10,800D0DF0,1E0,E40B0,80100F10,1E0,E3D60,80100BC0,1E0,E4090,80100EF0,1E0,,,,,,,
perspective,,,BF090,800D0130,290,BF2A0,800D0340,290,BF460,800D0500,290,BF4D0,800D0BB0,290,BF4A0,800D0B80,290,BF510,800D0BF0,290,BEEF0,800D06D0,290,C0110,800D0FF0,290,C00F0,800D0FD0,290,C00F0,800D0FD0,290,C00D0,800D0FB0,290,C01B0,800D10B0,290,0C0190,800D1090,290,C00F0,800D0FD0,290,E4290,801010F0,290,E3F40,80100DA0,290,E4270,801010D0,290,,,,,,,
sprawdma,,N64 is -O2 instead of 2.0I's -O1,BF320,800D03C0,90,BF530,800D05D0,90,BF6F0,800D0790,90,BF760,800D0E40,90,BF730,800D0E10,90,BF7A0,800D0E80,90,BF180,800D0960,90,C03A0,800D1280,90,C0380,800D1260,90,C0380,800D1260,90,C0360,800D1240,90,C0440,800D1340,90,0C0420,800D1320,90,C0380,800D1260,90,E4520,80101380,90,E41D0,80101030,90,E4500,80101360,90,,,,,,,
sirawdma,,,BF3B0,800D0450,B0,BF5C0,800D0660,B0,BF780,800D0820,B0,BF7F0,800D0ED0,B0,BF7C0,800D0EA0,B0,BF830,800D0F10,B0,BF210,800D09F0,B0,C0430,800D1310,B0,C0410,800D12F0,B0,C0410,800D12F0,B0,C03F0,800D12D0,B0,C04D0,800D13D0,B0,0C04B0,800D13B0,B0,C0410,800D12F0,B0,E45B0,80101410,B0,E4260,801010C0,B0,E4590,801013F0,B0,,,,,,,
sptaskyield,,,BF460,800D0500,20,BF670,800D0710,20,BF830,800D08D0,20,BF8A0,800D0F80,20,BF870,800D0F50,20,BF8E0,800D0FC0,20,BF2C0,800D0AA0,20,C04E0,800D13C0,20,C04C0,800D13A0,20,C04C0,800D13A0,20,C04A0,800D1380,20,C0580,800D1480,20,0C0560,800D1460,20,C04C0,800D13A0,20,E4660,801014C0,20,E4310,80101170,20,E4640,801014A0,20,,,,,,,
mtxutil,,,BF480,800D0520,270,BF690,800D0730,270,BF850,800D08F0,270,BF8C0,800D0FA0,270,BF890,800D0F70,270,BF900,800D0FE0,270,BF2E0,800D0AC0,270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
pfsreadwritefile,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E4680,801014E0,450,E4330,80101190,450,E4660,801014C0,450,,,,,,,
pfsgetstatus,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E4AD0,80101930,230,E4780,801015E0,230,E4AB0,80101910,230,,,,,,,
mtxidentf,,Handwritten,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C0500,800D13E0,50,C04E0,800D13C0,50,C04E0,800D13C0,50,C04C0,800D13A0,50,C05A0,800D14A0,50,0C0580,800D1480,50,C04E0,800D13C0,50,E4D00,80101B60,50,E49B0,80101810,50,E4CE0,80101B40,50,,,,,,,
lookat,,,BF6F0,800D0790,330,BF900,800D09A0,330,BFAC0,800D0B60,330,BFB30,800D1210,330,BFB00,800D11E0,330,BFB70,800D1250,330,BF550,800D0D30,330,C0550,800D1430,320,C0530,800D1410,320,C0530,800D1410,320,C0510,800D13F0,320,C05F0,800D14F0,320,0C05D0,800D14D0,320,C0530,800D1410,320,E4D50,80101BB0,320,E4A00,80101860,320,E4D30,80101B90,320,,,,,,,
pfsallocatefile,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E5070,80101ED0,480,E4D20,80101B80,480,E5050,80101EB0,480,,,,,,,
stoptimer,,,BFA20,800D0AC0,F0,BFC30,800D0CD0,F0,BFDF0,800D0E90,F0,BFE60,800D1540,F0,BFE30,800D1510,F0,BFEA0,800D1580,F0,BF880,800D1060,F0,C0870,800D1750,F0,C0850,800D1730,F0,C0850,800D1730,F0,C0830,800D1710,F0,C0910,800D1810,F0,0C08F0,800D17F0,F0,C0850,800D1730,F0,E54F0,80102350,F0,E51A0,80102000,F0,E54D0,80102330,F0,,,,,,,
contpfs,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E55E0,80102440,B80,E5290,801020F0,B80,E55C0,80102420,B80,,,,,,,
mtxl2f,,Handwritten,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E6160,80102FC0,70,E5E10,80102C70,70,E6140,80102FA0,70,,,,,,,
pfsfindfile,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E61D0,80103030,1D0,E5E80,80102CE0,1D0,E61B0,80103010,1D0,,,,,,,
sqrtf,,,BFB10,800D0BB0,10,BFD20,800D0DC0,10,BFEE0,800D0F80,10,BFF50,800D1630,10,BFF20,800D1600,10,BFF90,800D1670,10,BF970,800D1150,10,C0960,800D1840,10,C0940,800D1820,10,C0940,800D1820,10,C0920,800D1800,10,C0A00,800D1900,10,0C09E0,800D18E0,10,C0940,800D1820,10,E63A0,80103200,10,E6050,80102EB0,10,E6380,801031E0,10,,,,,,,
afterprenmi,,J?,BFB20,800D0BC0,20,BFD30,800D0DD0,20,BFEF0,800D0F90,20,BFF60,800D1640,20,BFF30,800D1610,20,BFFA0,800D1680,20,BF980,800D1160,20,C0970,800D1850,20,C0950,800D1830,20,C0950,800D1830,20,C0930,800D1810,20,C0A10,800D1910,20,0C09F0,800D18F0,20,C0950,800D1830,20,E63B0,80103210,20,E6060,80102EC0,20,E6390,801031F0,20,,,,,,,
contquery,,,BFB40,800D0BE0,B0,BFD50,800D0DF0,B0,BFF10,800D0FB0,B0,BFF80,800D1660,B0,BFF50,800D1630,B0,BFFC0,800D16A0,B0,BF9A0,800D1180,B0,C0990,800D1870,A0,C0970,800D1850,A0,C0970,800D1850,A0,C0950,800D1830,A0,C0A30,800D1930,A0,0C0A10,800D1910,A0,C0970,800D1850,A0,E63D0,80103230,A0,E6080,80102EE0,A0,E63B0,80103210,A0,,,,,,,
lookathil,,,BFBF0,800D0C90,7F0,BFE00,800D0EA0,7F0,BFFC0,800D1060,7F0,C0030,800D1710,7F0,C0000,800D16E0,7F0,C0070,800D1750,7F0,BFA50,800D1230,7F0,C0A30,800D1910,880,C0A10,800D18F0,880,C0A10,800D18F0,880,C09F0,800D18D0,880,C0AD0,800D19D0,880,0C0AB0,800D19B0,880,C0A10,800D18F0,880,E6470,801032D0,880,E6120,80102F80,880,E6450,801032B0,880,,,,,,,
xprintf,,In boot on debug,C03E0,800D1480,CC0,C05F0,800D1690,CC0,C07B0,800D1850,CC0,C0820,800D1F00,CC0,C07F0,800D1ED0,CC0,C0860,800D1F40,CC0,C0240,800D1A20,CC0,C12B0,800D2190,CE0,C1290,800D2170,CE0,C1290,800D2170,CE0,C1270,800D2150,CE0,C1350,800D2250,CE0,0C1330,800D2230,CE0,C1290,800D2170,CE0,-,-,-,-,-,-,-,-,-,,,,,,,
string,,In boot on debug,C10A0,800D2140,A0,C12B0,800D2350,A0,C1470,800D2510,A0,C14E0,800D2BC0,A0,C14B0,800D2B90,A0,C1520,800D2C00,A0,C0F00,800D26E0,A0,C1F90,800D2E70,A0,C1F70,800D2E50,A0,C1F70,800D2E50,A0,C1F50,800D2E30,A0,C2030,800D2F30,A0,0C2010,800D2F10,A0,C1F70,800D2E50,A0,-,-,-,-,-,-,-,-,-,,,,,,,
sp,,,C1140,800D21E0,30,C1350,800D23F0,30,C1510,800D25B0,30,C1580,800D2C60,30,C1550,800D2C30,30,C15C0,800D2CA0,30,C0FA0,800D2780,30,C2030,800D2F10,30,C2010,800D2EF0,30,C2010,800D2EF0,30,C1FF0,800D2ED0,30,C20D0,800D2FD0,30,0C20B0,800D2FB0,30,C2010,800D2EF0,30,E6CF0,80103B50,30,E69A0,80103800,30,E6CD0,80103B30,30,,,,,,,
viswapbuf,,ne0/ne1,C1170,800D2210,50,C1380,800D2420,50,C1540,800D25E0,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
mtxident,,Handwritten,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C2060,800D2F40,50,C2040,800D2F20,50,C2040,800D2F20,50,C2020,800D2F00,50,C2100,800D3000,50,0C20E0,800D2FE0,50,C2040,800D2F20,50,E6D20,80103B80,50,E69D0,80103830,50,E6D00,80103B60,50,,,,,,,
position,,,C11C0,800D2260,220,C13D0,800D2470,220,C1590,800D2630,220,C15B0,800D2C90,220,C1580,800D2C60,220,C15F0,800D2CD0,220,C0FD0,800D27B0,220,C20B0,800D2F90,210,C2090,800D2F70,210,C2090,800D2F70,210,C2070,800D2F50,210,C2150,800D3050,210,0C2130,800D3030,210,C2090,800D2F70,210,E6D70,80103BD0,210,E6A20,80103880,210,E6D50,80103BB0,210,,,,,,,
sptaskyielded,,,C13E0,800D2480,80,C15F0,800D2690,80,C17B0,800D2850,80,C17D0,800D2EB0,80,C17A0,800D2E80,80,C1810,800D2EF0,80,C11F0,800D29D0,80,C22C0,800D31A0,60,C22A0,800D3180,60,C22A0,800D3180,60,C2280,800D3160,60,C2360,800D3260,60,0C2340,800D3240,60,C22A0,800D3180,60,E6F80,80103DE0,60,E6C30,80103A90,60,E6F60,80103DC0,60,,,,,,,
rotate,,,C1460,800D2500,1F0,C1670,800D2710,1F0,C1830,800D28D0,1F0,C1850,800D2F30,1F0,C1820,800D2F00,1F0,C1890,800D2F70,1F0,C1270,800D2A50,1F0,C2320,800D3200,1D0,C2300,800D31E0,1D0,C2300,800D31E0,1D0,C22E0,800D31C0,1D0,C23C0,800D32C0,1D0,0C23A0,800D32A0,1D0,C2300,800D31E0,1D0,E6FE0,80103E40,1D0,E6C90,80103AF0,1D0,E6FC0,80103E20,1D0,,,,,,,
aisetfreq,,J version?,C1650,800D26F0,150,C1860,800D2900,150,C1A20,800D2AC0,150,C1A40,800D3120,150,C1A10,800D30F0,150,C1A80,800D3160,150,C1460,800D2C40,150,C24F0,800D33D0,150,C24D0,800D33B0,150,C24D0,800D33B0,150,C24B0,800D3390,150,C2590,800D3490,150,0C2570,800D3470,150,C24D0,800D33B0,150,E71B0,80104010,150,E6E60,80103CC0,150,E7190,80103FF0,150,,,,,,,
getactivequeue,,,C17A0,800D2840,10,C19B0,800D2A50,10,C1B70,800D2C10,10,C1B90,800D3270,10,C1B60,800D3240,10,C1BD0,800D32B0,10,C15B0,800D2D90,10,C2640,800D3520,20,C2620,800D3500,20,C2620,800D3500,20,C2600,800D34E0,20,C26E0,800D35E0,20,0C26C0,800D35C0,20,C2620,800D3500,20,E7300,80104160,20,E6FB0,80103E10,20,E72E0,80104140,20,,,,,,,
normalize,,Handwritten,C17B0,800D2850,90,C19C0,800D2A60,90,C1B80,800D2C20,90,C1BA0,800D3280,90,C1B70,800D3250,90,C1BE0,800D32C0,90,C15C0,800D2DA0,90,C2660,800D3540,60,C2640,800D3520,60,C2640,800D3520,60,C2620,800D3500,60,C2700,800D3600,60,0C26E0,800D35E0,60,C2640,800D3520,60,E7320,80104180,60,E6FD0,80103E30,60,E7300,80104160,60,,,,,,,
dpgetstat,,,C1840,800D28E0,10,C1A50,800D2AF0,10,C1C10,800D2CB0,10,C1C30,800D3310,10,C1C00,800D32E0,10,C1C70,800D3350,10,C1650,800D2E30,10,C26C0,800D35A0,10,C26A0,800D3580,10,C26A0,800D3580,10,C2680,800D3560,10,C2760,800D3660,10,0C2740,800D3640,10,C26A0,800D3580,10,E7380,801041E0,10,E7030,80103E90,10,E7360,801041C0,10,,,,,,,
dpsetstat,,,C1850,800D28F0,10,C1A60,800D2B00,10,C1C20,800D2CC0,10,C1C40,800D3320,10,C1C10,800D32F0,10,C1C80,800D3360,10,C1660,800D2E40,10,C26D0,800D35B0,10,C26B0,800D3590,10,C26B0,800D3590,10,C2690,800D3570,10,C2770,800D3670,10,0C2750,800D3650,10,C26B0,800D3590,10,E7390,801041F0,10,E7040,80103EA0,10,E7370,801041D0,10,,,,,,,
pfsdeletefile,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E73A0,80104200,270,E7050,80103EB0,270,E7380,801041E0,270,,,,,,,
ortho,,,C1860,800D2900,1C0,C1A70,800D2B10,1C0,C1C30,800D2CD0,1C0,C1C50,800D3330,1C0,C1C20,800D3300,1C0,C1C90,800D3370,1C0,C1670,800D2E50,1C0,C26E0,800D35C0,1C0,C26C0,800D35A0,1C0,C26C0,800D35A0,1C0,C26A0,800D3580,1C0,C2780,800D3680,1C0,0C2760,800D3660,1C0,C26C0,800D35A0,1C0,E7610,80104470,1C0,E72C0,80104120,1C0,E75F0,80104450,1C0,,,,,,,
cosf,,,C1A20,800D2AC0,170,C1C30,800D2CD0,170,C1DF0,800D2E90,170,C1E10,800D34F0,170,C1DE0,800D34C0,170,C1E50,800D3530,170,C1830,800D3010,170,C28A0,800D3780,170,C2880,800D3760,170,C2880,800D3760,170,C2860,800D3740,170,C2940,800D3840,170,0C2920,800D3820,170,C2880,800D3760,170,E77D0,80104630,170,E7480,801042E0,170,E77B0,80104610,170,,,,,,,
visetspecial,,J?,C1B90,800D2C30,160,C1DA0,800D2E40,160,C1F60,800D3000,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
coss,,,C1CF0,800D2D90,30,C1F00,800D2FA0,30,C20C0,800D3160,30,C1F80,800D3660,30,C1F50,800D3630,30,C1FC0,800D36A0,30,C19A0,800D3180,30,C2A10,800D38F0,30,C29F0,800D38D0,30,C29F0,800D38D0,30,C29D0,800D38B0,30,C2AB0,800D39B0,30,0C2A90,800D3990,30,C29F0,800D38D0,30,E7940,801047A0,30,E75F0,80104450,30,E7920,80104780,30,,,,,,,
settime,,n64,C1D20,800D2DC0,30,C1F30,800D2FD0,30,C20F0,800D3190,30,C1FB0,800D3690,30,C1F80,800D3660,30,C1FF0,800D36D0,30,C19D0,800D31B0,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
visetevent,,,C1D50,800D2DF0,70,C1F60,800D3000,70,C2120,800D31C0,70,C1FE0,800D36C0,70,C1FB0,800D3690,70,C2020,800D3700,70,C1A00,800D31E0,70,C2A40,800D3920,60,C2A20,800D3900,60,C2A20,800D3900,60,C2A00,800D38E0,60,C2AE0,800D39E0,60,0C2AC0,800D39C0,60,C2A20,800D3900,60,E7970,801047D0,60,E7620,80104480,60,E7950,801047B0,60,,,,,,,
pfsisplug,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E79D0,80104830,2F0,E7680,801044E0,2F0,E79B0,80104810,2F0,,,,,,,
us2dex,,,C1DC0,800D2E60,180,C1FD0,800D3070,180,C2190,800D3230,180,C2050,800D3730,180,C2020,800D3700,180,C2090,800D3770,180,C1A70,800D3250,180,C2AA0,800D3980,180,C2A80,800D3960,180,C2A80,800D3960,180,C2A60,800D3940,180,C2B40,800D3A40,180,0C2B20,800D3A20,180,C2A80,800D3960,180,E7CC0,80104B20,180,E7970,801047D0,180,E7CA0,80104B00,180,,,,,,,
pfsselectbank,,,C1F40,800D2FE0,80,C2150,800D31F0,80,C2310,800D33B0,80,C21D0,800D38B0,80,C21A0,800D3880,80,C2210,800D38F0,80,-,-,-,C2C20,800D3B00,80,C2C00,800D3AE0,80,C2C00,800D3AE0,80,C2BE0,800D3AC0,80,C2CC0,800D3BC0,80,0C2CA0,800D3BA0,80,C2C00,800D3AE0,80,E7E40,80104CA0,80,E7AF0,80104950,80,E7E20,80104C80,80,,,,,,,
contsetch,,,C1FC0,800D3060,70,C21D0,800D3270,70,C2390,800D3430,70,C2250,800D3930,70,C2220,800D3900,70,C2290,800D3970,70,C1BF0,800D33D0,70,C2CA0,800D3B80,60,C2C80,800D3B60,60,C2C80,800D3B60,60,C2C60,800D3B40,60,C2D40,800D3C40,60,0C2D20,800D3C20,60,C2C80,800D3B60,60,E7EC0,80104D20,60,E7B70,801049D0,60,E7EA0,80104D00,60,,,,,,,
pfsfilestate,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E7F20,80104D80,1E0,E7BD0,80104A30,1E0,E7F00,80104D60,1E0,,,,,,,
