,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
fault,,,,,,F7E80,,,,,,,,,0F7EF0,801095D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4A40,80105940,A10,129D00,80146B60,A10,,,,,,,,,,
fault_drawer,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5450,80106350,430,12A710,80147570,430,,,,FB660,80114600,30,,,,
ucode_disas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12AB40,801479A0,1A30,,,,,,,,,,
audio_lib_synthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5880,80106780,20,12C570,801493D0,20,,,,,,,,,,
audio_lib_heap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F58A0,801067A0,30,12C590,801493F0,30,,,,,,,,,,
audio_lib_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F58D0,801067D0,70,12C5C0,80149420,70,,,,,,,,,,
audio_lib_thread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5940,80106840,130,12C630,80149490,130,,,,,,,,,,
audio_lib_playback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5A70,80106970,30,12C760,801495C0,30,,,,,,,,,,
audio_lib_effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5AA0,801069A0,30,12C790,801495F0,30,,,,,,,,,,
audio_lib_seqplayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5AD0,801069D0,640,12C7C0,80149620,640,,,,,,,,,,
audio_general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6110,80107010,190,12CE00,80149C60,9C0,,,,,,,,,,
audio_sfx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F62A0,801071A0,20,12D7C0,8014A620,20,,,,,,,,,,
audio_sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F62C0,801071C0,80,12D7E0,8014A640,80,,,,,,,,,,
audio_session_config,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6340,80107240,10,12D860,8014A6C0,10,,,,,,,,,,
gfxprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6350,80107250,20,12D870,8014A6D0,40,,,,,,,,,,
rcp_utils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12D8B0,8014A710,150,,,,,,,,,,
loadfragment2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12DA00,8014A860,50,,,,,,,,,,
mtxuty-cvt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12DA50,8014A8B0,50,,,,,,,,,,
relocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12DAA0,8014A900,80,,,,,,,,,,
load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12DB20,8014A980,140,,,,,,,,,,
code_800FCE80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6370,80107270,50,12DC60,8014AAC0,50,,,,,,,,,,
system_malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12DCB0,8014AB10,F0,,,,,,,,,,
__osMalloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F63C0,801072C0,2C0,12DDA0,8014AC00,610,,,,FC190,80115130,2C0,,,,
sinf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6680,80107580,50,12E3B0,8014B210,50,,,,,,,,,,
perspective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F66D0,801075D0,10,12E400,8014B260,10,,,,,,,,,,
lookathil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F66E0,801075E0,10,12E410,8014B270,10,,,,,,,,,,
xprintf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F66F0,801075F0,100,,,,,,,,,,,,,
cosf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F67F0,801076F0,50,12E420,8014B280,50,,,,,,,,,,
libm_vals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6840,80107740,10,12E470,8014B2D0,10,,,,,,,,,,
xldtob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6850,80107750,60,,,,,,,,,,,,,
llcvt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F68B0,801077B0,10,12E480,8014B2E0,10,,,,,,,,,,
z_message_PAL.data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F68C0,801077C0,8A90,12E490,8014B2F0,8AA0,,,,,,,,,,
z_message_PAL.rodata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF350,80110250,1C0,136F30,80153D90,F60,,,,,,,,,,
z_game_over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF510,80110410,60,137E90,80154CF0,60,,,,,,,,,,
z_construct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137EF0,80154D50,380,,,,,,,,,,
audio_tables.rodata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF570,80110470,BA0,138270,801550D0,BA0,,,,,,,,,,
rsp.rodata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100110,80111010,2120,138E10,80155C70,2120,,,,,,,,,,
.bss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102230,80113130,,13AF30,80157D90,,,,,,,,,,,
