File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,npd,,,ce0,,,cp0,,,cj0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
viswapbuf,,,10DA0,80090E00,50,10D00,80090D60,50,FE00,8008FE60,50,FE60,8008FEC0,50,FFA0,80090000,50,10360,800903C0,50,,,,10460,800904C0,50,,,,,,
position,,,10DF0,80090E50,210,10D50,80090DB0,210,FE50,8008FEB0,210,FEB0,8008FF10,210,FFF0,80090050,210,103B0,80090410,210,,,,104B0,80090510,210,,,,,,
epirawdma,,,11000,80091060,1E0,10F60,80090FC0,1E0,10060,800900C0,1E0,100C0,80090120,1E0,10200,80090260,1E0,105C0,80090620,1E0,,,,106C0,80090720,1E0,,,,,,
sptaskyielded,,,111E0,80091240,60,11140,800911A0,60,10240,800902A0,60,102A0,80090300,60,103E0,80090440,60,107A0,80090800,60,,,,108A0,80090900,60,,,,,,
bcmp,,,11240,800912A0,120,111A0,80091200,120,102A0,80090300,120,10300,80090360,120,10440,800904A0,120,10800,80090860,120,,,,10900,80090960,120,,,,,,
gettime,,,11360,800913C0,90,112C0,80091320,90,103C0,80090420,90,10420,80090480,90,10560,800905C0,90,10920,80090980,90,,,,10A20,80090A80,90,,,,,,
rotate,,,113F0,80091450,1D0,11350,800913B0,1D0,10450,800904B0,1D0,104B0,80090510,1D0,105F0,80090650,1D0,109B0,80090A10,1D0,,,,10AB0,80090B10,1D0,,,,,,
setglobalintmask,,,115C0,80091620,50,11520,80091580,50,10620,80090680,50,10680,800906E0,50,107C0,80090820,50,10B80,80090BE0,50,,,,10C80,80090CE0,50,,,,,,
voiceinit,,,11610,80091670,140,11570,800915D0,140,10670,800906D0,140,106D0,80090730,140,10810,80090870,140,10BD0,80090C30,140,,,,10CD0,80090D30,140,,,,,,
contchannelreset,,,11750,800917B0,F0,116B0,80091710,F0,107B0,80090810,F0,10810,80090870,F0,10950,800909B0,F0,10D10,80090D70,F0,,,,10E10,80090E70,F0,,,,,,
